cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
10757,154.59,C1=CC=C(C=C1)C(=O)CCl,C1=CC=C(C=C1)C(=O)CCl,2-chloro-1-phenylethanone,2.3
10964,72.06,C(C=O)C=O,C(C=O)C=O,propanedial,-0.6
11050,180.20,C1=CC2=C3C(=C1)C=CC(=O)C3=CC=C2,C1=CC2=C3C(=C1)C=CC(=O)C3=CC=C2,phenalen-1-one,3.2
11056,292.3,C1=CC=C(C=C1)C2=C(C(=O)C(=C(C2=O)O)C3=CC=CC=C3)O,C1=CC=C(C=C1)C2=C(C(=O)C(=C(C2=O)O)C3=CC=CC=C3)O,"2,5-dihydroxy-3,6-diphenylcyclohexa-2,5-diene-1,4-dione",3.0
11251,86.13,CC(C)C(=O)C,CC(C)C(=O)C,3-methylbutan-2-one,0.8
11340,134.17,CC1=CC=CC=C1C(=O)C,CC1=CC=CC=C1C(=O)C,1-(2-methylphenyl)ethanone,2.0
11363,148.16,CC(=O)C(=O)C1=CC=CC=C1,CC(=O)C(=O)C1=CC=CC=C1,"1-phenylpropane-1,2-dione",1.7
11509,100.16,CCCC(=O)CC,CCCC(=O)CC,hexan-3-one,1.2
11552,86.13,CC(C)CC=O,CC(C)CC=O,3-methylbutanal,1.0
11583,100.16,CCCCC(=O)C,CCCCC(=O)C,hexan-2-one,1.4
11747,100.12,CCC(=O)C(=O)C,CCC(=O)C(=O)C,"pentane-2,3-dione",0.1
11915,150.13,C1=CC=C(C=C1)C(=O)C(=O)O,C1=CC=C(C=C1)C(=O)C(=O)O,2-oxo-2-phenylacetic acid,1.3
11966,194.23,CC(C)(C)OOC(=O)C1=CC=CC=C1,CC(C)(C)OOC(=O)C1=CC=CC=C1,tert-butyl benzenecarboperoxoate,2.8
12085,248.02,C1=CC(=CC=C1C(=O)O)I,C1=CC(=CC=C1C(=O)O)I,4-iodobenzoic acid,3.0
12086,150.17,CCC1=CC=C(C=C1)C(=O)O,CCC1=CC=C(C=C1)C(=O)O,4-ethylbenzoic acid,2.9
12088,150.13,C1=CC(=CC=C1C=O)C(=O)O,C1=CC(=CC=C1C=O)C(=O)O,4-formylbenzoic acid,1.8
12105,120.15,CC1=CC(=CC=C1)C=O,CC1=CC(=CC=C1)C=O,3-methylbenzaldehyde,2.0
12179,100.12,CCC(=O)CC=O,CCC(=O)CC=O,3-oxopentanal,0.0
12222,54.05,C#CC=O,C#CC=O,prop-2-ynal,0.2
12417,86.13,CC(C)(C)C=O,CC(C)(C)C=O,"2,2-dimethylpropanal",1.1
