rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
94,12179,CCC(=O)CC=O,ZNNXJRURXWWGLN-UHFFFAOYSA-N,3-oxopentanal,100.11699999999999,0.5545,34.14,0,2,3,0,2,3,2,2,0,1,0.3831964985572301,0.4581964985572301,Dialdehyde (aliphatic)
95,551778,O=CC(C=O)C=O,WRWNFZAKUHZONV-UHFFFAOYSA-N,methanetricarbaldehyde,100.073,-0.8007000000000002,51.21,0,3,3,0,3,3,3,3,0,0,0.34431918522225274,0.45681918522225273,Dialdehyde (aliphatic)
96,3485,O=CCCCC=O,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,pentanedial,100.11699999999999,0.5545,34.14,0,2,4,0,2,2,2,2,0,2,0.381710195438469,0.456710195438469,Dialdehyde (aliphatic)
97,13643743,O=CCCOCCC=O,LMGSCHASJBBXBN-UHFFFAOYSA-N,3-(3-oxopropoxy)propanal,130.14299999999997,0.18100000000000005,43.370000000000005,0,3,6,0,2,2,2,2,0,2,0.3802768828111005,0.4552768828111005,Dialdehyde (aliphatic)
98,19933060,CCC(C=O)C=O,KJOIYGNLIYOKAT-UHFFFAOYSA-N,2-ethylpropanedial,100.11699999999999,0.4104,34.14,0,2,3,0,2,2,2,2,0,0,0.3799745401491845,0.45497454014918454,Dialdehyde (aliphatic)
99,20531819,O=CC(=O)SCl,NTYJSEDFYWLCCL-UHFFFAOYSA-N,S-chloro 2-oxoethanethioate,124.548,0.5988999999999999,34.14,0,3,1,0,2,0,2,2,0,0,0.37929059813892424,0.45429059813892425,Dialdehyde (aliphatic)
100,88111403,O.O=CCCCC=O,BHTJEPVNHUUIPV-UHFFFAOYSA-N,pentanedial;hydrate,118.13199999999999,-0.2702,65.64,0,2,4,0,2,2,2,2,0,2,0.37642005566646414,0.45142005566646415,Dialdehyde (aliphatic)
101,58114481,O=CC(=O)CCF,UFXHWOQVEZUFIN-UHFFFAOYSA-N,4-fluoro-2-oxobutanal,104.07999999999997,0.11399999999999999,34.14,0,2,3,0,2,1,2,2,1,0,0.3759940614485898,0.45099406144858983,Fluoro-dialdehyde
102,59148751,O=CCC(=O)CF,ZFNHTILTQUKZED-UHFFFAOYSA-N,4-fluoro-3-oxobutanal,104.08,0.11399999999999999,34.14,0,2,3,0,2,3,2,2,1,1,0.3759940614485898,0.45099406144858983,Fluoro-dialdehyde
103,18364271,CC(=O)C(=O)S,UHTFUJYSNZPDEN-UHFFFAOYSA-N,2-oxopropanethioic S-acid,104.12999999999998,0.031799999999999995,34.14,1,2,1,0,2,1,2,2,0,0,0.3759812556973594,0.4509812556973594,Dialdehyde (aliphatic)
