rank_nb2,rank_nb1,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,qed,category,elec_proxy,ani_energy,method,conformer_ok,nb2_score
139,80,88107893,CCC(F)C(=O)C=O,3-fluoro-2-oxopentanal,118.107,0.5025000000000001,2,1,2,2,1,0.399207155441389,Fluoro-dialdehyde,20.84784625866455,,gasteiger,True,41.81300927773894
140,52,6956,NC(=O)c1ccccc1C(N)=O,"benzene-1,2-dicarboxamide",164.164,-0.1156,2,0,2,2,0,0.6381913843399303,Dialdehyde (cyclic),24.900998876562987,,gasteiger,True,40.5
141,188,90915481,O=CC(=O)C(=O)PCP,"2,3-dioxo-3-(phosphanylmethylphosphanyl)propanal",164.03699999999998,-0.2079000000000002,3,0,3,3,0,0.2498238521329955,Dialdehyde (aliphatic),22.741798751358566,,gasteiger,True,40.5
142,190,57243283,O=CC(=O)C[P+](O)(O)O,"2,3-dioxopropyl(trihydroxy)phosphanium",153.05,-1.5061000000000002,2,1,2,2,0,0.2601539798732418,Dialdehyde (aliphatic),21.466818607342656,,gasteiger,True,40.5
143,139,11915,O=C(O)C(=O)c1ccccc1,2-oxo-2-phenylacetic acid,150.13299999999998,0.9539,2,0,2,2,0,0.5041162995989998,Dialdehyde (cyclic),32.315917267493624,,gasteiger,True,40.5
144,38,997,O=C(O)C(=O)Cc1ccccc1,2-oxo-3-phenylpropanoic acid,164.15999999999997,0.8828,2,1,2,2,0,0.6745421484364059,Dialdehyde (cyclic),30.78588924732842,,gasteiger,True,40.5
145,143,144339392,O=CC(=O)OF,fluoro 2-oxoacetate,92.025,-0.3870000000000001,2,0,2,2,1,0.3265982316228993,Fluoro-dialdehyde,32.08735702463832,,gasteiger,True,40.0
146,117,134344729,O=CCC(=O)OF,fluoro 3-oxopropanoate,106.052,0.0030999999999999,2,2,2,2,1,0.3673696684919029,Fluoro-dialdehyde,24.305978937985167,,gasteiger,True,40.0
147,88,54127989,CC(=O)C(F)(F)C=O,"2,2-difluoro-3-oxobutanal",122.07,0.4095999999999999,2,3,2,2,2,0.39233248631193,Fluoro-dialdehyde,20.110111257910194,,gasteiger,True,39.933649599996336
148,8,12666451,CC(=O)C(F)(F)C(C)=O,"3,3-difluoropentane-2,4-dione",136.09699999999998,0.7997,2,4,2,2,2,0.5259322443206755,Fluoro-dialdehyde,20.606434340225434,,gasteiger,True,37.83418865269647
149,59,121318252,O=CC(=O)C(F)CCF,"3,5-difluoro-2-oxopentanal",136.09699999999998,0.4521,2,1,2,2,2,0.4150831809721078,Fluoro-dialdehyde,20.853662095317137,,gasteiger,True,36.78840812102662
150,50,88107593,CCC(F)(F)C(=O)C=O,"3,3-difluoro-2-oxopentanal",136.09699999999998,0.7997000000000001,2,1,2,2,2,0.424444093331381,Fluoro-dialdehyde,22.763559603310394,,gasteiger,True,35.0
151,114,154514858,O=CC(=O)C(F)F,"3,3-difluoro-2-oxopropanal",108.043,0.0194999999999998,2,1,2,2,2,0.3688011591977828,Fluoro-dialdehyde,22.596612077571056,,gasteiger,True,35.0
